Unnamed: 0,TxnDate,TxnTime,Consumption,anomaly,cluster
-1.4015573778000274,01 Jan 2022,16:55:52,-0.7170057384695242,1,0
-1.3969346753542633,01 Jan 2022,21:45:29,-0.751724672011564,1,0
-1.3923119729084992,01 Jan 2022,12:24:52,-0.745597801386498,1,0
-1.3876892704627348,01 Jan 2022,04:07:36,-0.744917037983713,1,0
-1.3830665680169707,01 Jan 2022,06:52:25,-0.7490016184004236,1,0
-1.3784438655712066,01 Jan 2022,10:20:09,-0.7299402431224409,1,0
-1.3738211631254424,01 Jan 2022,15:32:01,-0.7619361230533404,1,0
-1.3691984606796783,01 Jan 2022,19:23:47,-0.4133852608273716,1,0
-1.3645757582339142,01 Jan 2022,11:19:47,-0.7544477256227043,1,0
-1.3599530557881498,01 Jan 2022,14:52:01,-0.744917037983713,1,0
-1.3564461780706736,01 Jan 2022,23:53:01,-0.7224518456918049,1,0
-1.3507076508966216,01 Jan 2022,01:41:48,-0.431085109299784,1,0
-1.3460849484508575,01 Jan 2022,10:39:50,-0.7558092524282746,1,0
-1.3414622460050933,01 Jan 2022,06:32:56,-0.7326632967335813,1,0
-1.3368395435593292,01 Jan 2022,15:12:09,-0.752405435414349,1,0
-1.3322168411135649,01 Jan 2022,12:45:05,-0.7530861988171341,1,0
-1.3275941386678007,01 Jan 2022,22:05:56,-0.7530861988171341,1,0
-1.3229714362220366,01 Jan 2022,07:14:24,-0.7136019214555986,1,0
-1.3183487337762725,01 Jan 2022,02:47:00,-0.6890944389553352,1,0
-1.3137260313305084,01 Jan 2022,00:42:33,-0.7530861988171341,1,0
-1.3091033288847442,01 Jan 2022,03:47:47,-0.7476400915948535,1,0
-1.30448062643898,01 Jan 2022,20:44:08,-0.7598938328449851,1,0
-1.2998579239932158,01 Jan 2022,16:12:37,-0.7626168864561255,1,0
-1.2952352215474516,01 Jan 2022,12:05:06,-0.7285787163168708,1,0
-1.2906125191016875,01 Jan 2022,03:06:30,-0.7462785647892832,1,0
-1.2859898166559234,01 Jan 2022,01:01:51,-0.7530861988171341,1,0
-1.2813671142101593,01 Jan 2022,11:43:40,-0.6897752023581203,1,0
-1.2767444117643951,01 Jan 2022,23:31:01,-0.7326632967335813,1,0
-1.2721217093186308,01 Jan 2022,10:59:47,-0.7401516941642172,1,0
-1.2674990068728667,01 Jan 2022,02:22:52,-0.4215544216607927,1,0
-1.2628763044271025,01 Jan 2022,20:03:52,-0.7571707792338448,1,0
-1.2582536019813384,01 Jan 2022,14:31:39,-0.7299402431224409,1,0
-1.2536308995355743,01 Jan 2022,09:58:43,-0.7483208549976385,1,0
-1.2490081970898101,01 Jan 2022,05:51:27,-0.7544477256227043,1,0
-1.2443854946440458,01 Jan 2022,14:10:15,-0.7544477256227043,1,0
-1.2397627921982817,01 Jan 2022,18:42:25,-0.7646591766644807,1,0
-1.2351400897525175,01 Jan 2022,22:49:58,-0.7326632967335813,1,0
-1.2305173873067534,01 Jan 2022,04:28:02,-0.7394709307614322,1,0
-1.2258946848609893,01 Jan 2022,08:38:00,-0.7387901673586472,1,0
-1.2212719824152252,01 Jan 2022,13:50:19,-0.7027097070110371,1,0
-1.216649279969461,01 Jan 2022,22:28:26,-0.7027097070110371,1,0
-1.2120265775236967,01 Jan 2022,07:34:40,-0.7476400915948535,1,0
-1.2074038750779326,01 Jan 2022,03:27:40,-0.7394709307614322,1,0
-1.2027811726321684,01 Jan 2022,00:22:28,-0.7101981044416731,1,0
-1.1981584701864043,01 Jan 2022,20:24:31,-0.7408324575670024,1,0
-1.1935357677406402,01 Jan 2022,15:53:43,-0.7278979529140857,1,0
-1.188913065294876,01 Jan 2022,17:39:34,-0.7469593281920682,1,0
-1.1842903628491117,01 Jan 2022,21:25:49,-0.7476400915948535,1,0
-1.1796676604033476,01 Jan 2022,13:06:25,-0.7353863503447217,1,0
-1.1750449579575835,01 Jan 2022,05:07:43,-0.7442362745809279,1,0
-1.1704222555118193,01 Jan 2022,08:17:20,-0.3929623587438187,1,0
-1.1657995530660552,01 Jan 2022,16:33:12,-0.7421939843725727,1,0
-1.161176850620291,01 Jan 2022,21:05:13,-0.7285787163168708,1,0
-1.1565541481745267,01 Jan 2022,06:11:59,-0.744917037983713,1,0
-1.1519314457287626,01 Jan 2022,19:44:16,-0.7435555111781428,1,0
-1.1473087432829985,01 Jan 2022,13:27:37,-0.7326632967335813,1,0
-1.1426860408372344,01 Jan 2022,09:38:30,-0.42087365825800765,1,0
-1.1380633383914702,01 Jan 2022,05:31:53,-0.68705214874698,1,0
-1.133440635945706,01 Jan 2022,18:22:53,-0.38683548811875285,1,0
-1.1288179334999418,01 Jan 2022,23:09:54,-0.7442362745809279,1,0
-1.1241952310541776,01 Jan 2022,04:48:02,-0.7558092524282746,1,0
-1.1195725286084135,01 Jan 2022,08:57:36,-0.7476400915948535,1,0
-1.1149498261626494,01 Jan 2022,17:18:43,-0.7033904704138222,1,0
-0.34710300956796086,02 Jan 2022,05:45:06,-0.7333440601363664,1,0
-0.3424803071221967,02 Jan 2022,01:56:52,-0.7639784132616957,1,0
-0.3378576046764325,02 Jan 2022,12:42:40,-0.06891897901811325,1,0
-0.3332349022306684,02 Jan 2022,15:44:50,0.19453645785971865,1,0
-0.3286121997849042,02 Jan 2022,13:23:26,1.0938249129388296,1,2
-0.32398949733914,02 Jan 2022,02:16:48,-0.7408324575670024,1,0
-0.3193667948933759,02 Jan 2022,10:17:01,0.9637991030068765,1,2
-0.3147440924476117,02 Jan 2022,07:07:36,-0.7476400915948535,1,0
